entity,total_mentions,doc_freq
신념,2,2
도로시,2,1
이야기시,2,1
재치,2,1
기지,2,1
웃음,2,1
다성적,2,2
자기증식적,2,1
전자문화,2,1
다양,2,1
총체성,2,2
깊이,2,2
시심,2,1
진정성,2,2
획일성,2,2
신성함,2,2
신성,2,2
동심,2,2
세계의심연,2,1
운동성,2,2
지각경험,2,1
탈장소화,2,1
다매체적,2,1
여행,2,1
다매체,2,1
통감각적인,2,1
시간의흐름,2,1
퍼포먼스,2,2
다양성,2,1
거시적세계관,2,1
존재의본질,2,2
인식,2,1
정신,2,2
소실점,2,2
공적언어,2,1
386세대,2,1
노동문학,2,1
시적상상력,2,2
수사학,2,2
언어의투명성,2,1
소통불능,2,2
시적전략,2,2
유토피아니즘,2,1
시관,2,2
아버지의이름,2,2
의식하는자아,2,1
자기윤리,2,1
정신주의시,2,2
세계의자아화,2,2
의사소통,2,1
소녀,2,2
정신주의,2,2
새로운감수성,2,2
탈중심,2,2
비시의무화,2,1
가치론적질서,2,1
존재론적질서,2,1
진리인식,2,1
정치적올바름,2,1
가치론적,2,1
2000년대시단,2,1
감성의분할,2,2
감각의재배치,2,1
유목,2,2
혼성적문화의식,2,2
전복성,2,2
시민운동,2,2
수월성,2,1
시의정치성,2,2
자기갱신,2,2
중진시인들,2,2
본질주의,2,2
여성,2,2
선배시인들,2,2
시의윤리학,2,1
실천이성,2,1
노동기계,2,1
위악의윤리학,2,1
위악,2,1
단독자,2,1
희망,2,2
전위적인,2,2
감각적인것,2,2
투쟁,2,2
도덕,2,2
새로운상상력,2,1
자명성,2,1
주체의균열과해체,2,1
책임,2,2
수사의폐기,2,1
사소설,2,1
전위성,2,2
서정적인간,2,2
연대,2,1
헬조선,2,1
자본주의적인간,2,1
불가능성,2,1
요설,2,2
비정형,2,2
에세이,2,2
성숙,2,1
원형성,2,1
역설,2,2
진실의윤리학,2,1
줌인,2,1
동일시,2,1
뉴웨이브시인들,2,1
정화된자동장치,2,1
외설적쾌락,2,1
주이상스,2,1
시의자율성,2,1
새로운시인들,2,2
실험성,2,2
광기,2,2
난해,2,2
해체된주체,2,1
영구혁명,2,2
유희성,2,1
유회,2,1
생태시학,2,1
유사성의원리,2,1
환유적언어,2,1
동일성의시학,2,2
알레고리의수사학,2,1
언어의음악적상태,2,1
감각의착란,2,2
추상의그림,2,1
물과그림자,2,1
진술적언어,2,1
묘사적언어,2,1
가족서사,2,1
내면세계,2,1
2000년대한국시,2,2
귀신,2,1
인식과정서,2,1
예술체제,2,2
인민,2,1
미학적인것,2,2
내면지향,2,1
되받아쓰기,2,1
에듀케이션,2,1
난맥,2,1
시의정치,2,1
낙타,2,1
우울증,2,2
수목형,2,1
이질성,2,2
아나키즘,2,1
대타자의욕망,2,2
심층적환유,2,1
사물들,2,1
쾌활한역설,2,1
붉은색,2,1
만남,2,2
입술-항문,2,2
비선형적,2,2
증여/매매,2,2
자선/구걸,2,2
감시/폭력/존재함입,2,2
낭만성,2,2
통제,2,2
증폭,2,2
전도,2,2
잔혹가족극,2,2
공모,2,2
분신,2,2
부모-먹기,2,2
화해와재생,2,2
여자들,2,1
핏자국,2,1
유리,2,1
무의식적주체,2,2
무의식적기억,2,2
상상적영상,2,1
2000년대전위시,2,2
사회성,2,2
외상적얼룩,2,1
회화적구도,2,1
탈주체성,2,1
능동성,2,1
서사적진술,2,1
현실감,2,1
선형성,2,1
평면의묘사,2,1
형식에대한질문,2,1
순환,2,2
고양이의형식,2,1
우연성의효과,2,1
무관성,2,1
휘발성,2,2
과잉된파토스,2,2
플러스의수사학,2,2
희박한파토스,2,2
마이너스의수사학,2,2
평면,2,2
온몸의시학,2,1
시민의식,2,2
배제의방식,2,1
혼란,2,1
순수예술성,2,1
죽음의시학,2,1
착란,2,1
사회적상상력,2,2
플라톤주의,2,1
심층,2,1
혼돈,2,2
의미화구조,2,1
방어기제,2,1
타자의욕망,2,1
환상가로지르기,2,1
계열화,2,1
오이디푸스,2,2
정신병,2,1
도착증,2,1
문학비평,2,1
공간적상징,2,1
눈알들,2,1
눈송이,2,1
요요,2,1
감시용카메라,2,1
자아의분열,2,2
반죽,2,1
이중성,2,2
변신의형식,2,1
생태시편,2,1
시의죽음,2,1
전위적,2,2
유미주의,2,1
미적인것,2,2
시의위기,2,1
시적경험,2,2
전복적상상력,2,2
탈경계,2,2
다문화주의,2,1
코시안,2,2
타자화,2,2
세대논쟁,2,1
거창한이야기,2,2
부성의부재,2,2
결혼,2,1
관념,2,2
서브컬처,2,1
스플래터무비,2,1
거대서사,2,2
코믹잔혹극,2,1
커다란이야기,2,1
상상체험자,2,1
감각적현실,2,1
분열된나,2,1
동물화,2,1
카피,2,1
오리지널,2,1
상상체험,2,1
페미니즘시,2,2
해체시,2,2
측정불가능성,2,1
자연의매트릭스,2,1
예술운동,2,2
역사적아방가르드,2,1
예술정치운동,2,1
교환가치의새로움,2,1
오감도들,2,1
다른서정시,2,2
탈정치화,2,2
미학의정치성,2,1
금욕주의,2,2
시적성애학,2,1
혁명적정치성,2,1
상호텍스트성,2,1
소시민,2,1
저임금,2,1
기초수급자,2,1
창조신화,2,1
일군의시인들,2,2
시적기호,2,1
반)서정,2,1
도원,2,1
목련화그늘,2,1
곡우,2,1
청명,2,1
우수,2,1
서정적감성,2,2
타이포그래피,2,2
원관념,2,1
사물성,2,2
역원근법,2,2
위계질서,2,2
일탈,2,2
